Bin start,Bin end,Number of unique MAC addresses
1677725041.6450458,1677725046.0049155,0
1677725046.0049155,1677725226.0049155,4
1677725226.0049155,1677725229.607157,0
1677725229.607157,1677725409.607157,7
1677725409.607157,1677725417.955907,0
1677725417.955907,1677725597.955907,5
1677725597.955907,1677725609.3799086,0
1677725609.3799086,1677725789.3799086,7
1677725789.3799086,1677725819.5139303,0
1677725819.5139303,1677725999.5139303,4
1677725999.5139303,1677726000.4449484,0
1677726000.4449484,1677726180.4449484,6
1677726180.4449484,1677726186.2135153,0
1677726186.2135153,1677726366.2135153,3
1677726366.2135153,1677726422.232849,0
1677726422.232849,1677726602.232849,7
1677726602.232849,1677726609.503028,0
1677726609.503028,1677726789.503028,7
1677726789.503028,1677726801.7729757,0
1677726801.7729757,1677726981.7729757,7
1677726981.7729757,1677726996.2131884,0
1677726996.2131884,1677727176.2131884,6
1677727176.2131884,1677727198.3217347,0
1677727198.3217347,1677727378.3217347,5
1677727378.3217347,1677727389.5304084,0
1677727389.5304084,1677727569.5304084,7
1677727569.5304084,1677727600.1424255,0
1677727600.1424255,1677727780.1424255,6
1677727780.1424255,1677727802.395579,0
1677727802.395579,1677727982.395579,7
1677727982.395579,1677727989.8431766,0
1677727989.8431766,1677728169.8431766,5
1677728169.8431766,1677728179.6866145,0
1677728179.6866145,1677728359.6866145,7
1677728359.6866145,1677728406.690518,0
1677728406.690518,1677728586.690518,5
1677728586.690518,1677728619.868069,0
1677728619.868069,1677728799.868069,4
1677728799.868069,1677728809.7548738,0
1677728809.7548738,1677728989.7548738,4
1677728989.7548738,1677729000.2708535,0
1677729000.2708535,1677729180.2708535,7
1677729180.2708535,1677729279.7286475,0
1677729279.7286475,1677729459.7286475,8
1677729459.7286475,1677729465.315065,0
1677729465.315065,1677729645.315065,3
1677729645.315065,1677729678.2648716,0
1677729678.2648716,1677729858.2648716,7
1677729858.2648716,1677729859.552704,0
1677729859.552704,1677730039.552704,3
1677730039.552704,1677730077.5266638,0
1677730077.5266638,1677730257.5266638,10
1677730257.5266638,1677730264.1635747,0
1677730264.1635747,1677730444.1635747,8
1677730444.1635747,1677730482.0007854,0
1677730482.0007854,1677730662.0007854,4
1677730662.0007854,1677730663.8279195,0
1677730663.8279195,1677730843.8279195,6
1677730843.8279195,1677730865.4931636,0
1677730865.4931636,1677731045.4931636,7
1677731045.4931636,1677731068.1739936,0
1677731068.1739936,1677731248.1739936,4
1677731248.1739936,1677731261.3664198,0
1677731261.3664198,1677731441.3664198,6
